
category,level1,level2,emoji,english,romaji
Noun,Animals,Pet,🐕,dog,inu
Noun,Animals,Pet,🐈,cat,neko
Noun,Animals,Pet,🐇,rabbit,usagi
Noun,Animals,Pet,🐹,hamster,hamusutā
Noun,Animals,Pet,🐦,bird,tori
Noun,Animals,Pet,🐠,fish,sakana
Noun,Animals,Pet,🐢,turtle,kame
Noun,Animals,Pet,🐁,mouse,nezumi
Noun,Animals,Pet,🦎,lizard,tokage
Noun,Animals,Pet,🐍,snake,hebi
Noun,Animals,Pet,🦜,parrot,ōmu
Noun,Animals,Pet,🐩,poodle,pūdoru
Noun,Animals,Pet,🐈‍⬛,black cat,kuro neko
Noun,Animals,Pet,🦮,guide dog,mōdōken
Noun,Animals,Pet,🐕‍🦺,service dog,kaigo inu
Noun,Animals,Farm,🐄,cow,ushi
Noun,Animals,Farm,🐷,pig,buta
Noun,Animals,Farm,🐴,horse,uma
Noun,Animals,Farm,🐑,sheep,hitsuji
Noun,Animals,Farm,🐐,goat,yagi
Noun,Animals,Farm,🐔,chicken,niwatori
Noun,Animals,Farm,🐓,rooster,ondori
Noun,Animals,Farm,🦆,duck,ahiru
Noun,Animals,Farm,🦃,turkey,shichimenchō
Noun,Animals,Farm,🐇,rabbit,usagi
Noun,Animals,Farm,🐎,donkey,roba
Noun,Animals,Farm,🦙,llama,rama
Noun,Animals,Farm,🐖,piglet,kobu
Noun,Animals,Farm,🐏,ram,osu hitsuji
Noun,Animals,Farm,🥚,egg,tamago
Noun,Animals,Wild,🦁,lion,raion
Noun,Animals,Wild,🐯,tiger,tora
Noun,Animals,Wild,🐻,bear,kuma
Noun,Animals,Wild,🐺,wolf,ōkami
Noun,Animals,Wild,🦊,fox,kitsune
Noun,Animals,Wild,🐵,monkey,saru
Noun,Animals,Wild,🦍,gorilla,gorira
Noun,Animals,Wild,🐘,elephant,zō
Noun,Animals,Wild,🦏,rhinoceros,sai
Noun,Animals,Wild,🦛,hippopotamus,kaba
Noun,Animals,Wild,🦒,giraffe,kirin
Noun,Animals,Wild,🦓,zebra,shimauma
Noun,Animals,Wild,🦘,kangaroo,kangarū
Noun,Animals,Wild,🐨,koala,koara
Noun,Animals,Wild,🐼,panda,panda
Noun,Animals,Wild,🦥,sloth,namakemono
Noun,Animals,Wild,🦦,otter,rakko
Noun,Animals,Wild,🦨,skunk,sukanku
Noun,Animals,Wild,🦡,badger,anaguma
Noun,Animals,Wild,🐗,boar,inoshishi
Noun,Animals,Wild,🦌,deer,shika
Noun,Animals,Wild,🐿️,squirrel,risu
Noun,Animals,Wild,🦇,bat,kōmori
Noun,Animals,Wild,🦔,hedgehog,harinezumi
Noun,Animals,Wild,🐆,leopard,hyō
Noun,Animals,Wild,🐅,tiger,toraneko
Noun,Animals,Wild,🦮,raccoon,araiguma
Noun,Animals,Sea,🐟,fish,sakana
Noun,Animals,Sea,🐠,tropical fish,nettai-gyo
Noun,Animals,Sea,🐡,pufferfish,fugu
Noun,Animals,Sea,🦈,shark,same
Noun,Animals,Sea,🐬,dolphin,iruka
Noun,Animals,Sea,🐳,whale,kujira
Noun,Animals,Sea,🐙,octopus,tako
Noun,Animals,Sea,🦑,squid,ika
Noun,Animals,Sea,🦐,shrimp,ebi
Noun,Animals,Sea,🦞,lobster,robusutā
Noun,Animals,Sea,🦀,crab,kani
Noun,Animals,Sea,🐚,shellfish,kai
Noun,Animals,Sea,🦪,oyster,kaki
Noun,Animals,Sea,🐌,snail,katatsumuri
Noun,Animals,Sea,🦭,seal,azarashi
Noun,Animals,Sea,🦦,sea otter,rakko
Noun,Animals,Sea,🐧,penguin,pengin
Noun,Animals,Sea,🦈,stingray,ei
Noun,Animals,Sea,🐡,jellyfish,kurage
Noun,Animals,Sea,⭐,starfish,hitode
Noun,Animals,Sea,🦑,cuttlefish,kōika
Noun,Animals,Birds,🐦,bird,tori
Noun,Animals,Birds,🦅,eagle,washi
Noun,Animals,Birds,🦉,owl,fukurō
Noun,Animals,Birds,🦜,parrot,ōmu
Noun,Animals,Birds,🦚,peacock,kujaku
Noun,Animals,Birds,🦩,flamingo,furamingo
Noun,Animals,Birds,🐧,penguin,pengin
Noun,Animals,Birds,🕊️,dove,hato
Noun,Animals,Birds,🦢,swan,hakuchō
Noun,Animals,Birds,🦆,duck,ahiru
Noun,Animals,Birds,🦃,turkey,shichimenchō
Noun,Animals,Birds,🐓,rooster,ondori
Noun,Animals,Birds,🐔,chicken,niwatori
Noun,Animals,Birds,🐤,chick,hiyoko
Noun,Animals,Birds,🐣,hatching chick,hina
Noun,Animals,Birds,🦇,bat,kōmori
Noun,Animals,Birds,🐦‍⬛,crow,karasu
Noun,Animals,Birds,🦅,hawk,taka
Noun,Animals,Birds,🪶,feather,hane
Noun,Animals,Birds,🥚,egg,tamago
Noun,Animals,Birds,🪹,nest,su
Noun,Animals,Insects,🐛,caterpillar,kemushi
Noun,Animals,Insects,🦋,butterfly,chō
Noun,Animals,Insects,🐝,bee,hachi
Noun,Animals,Insects,🐜,ant,ari
Noun,Animals,Insects,🦗,cricket,kōrogi
Noun,Animals,Insects,🪲,beetle,kabutomushi
Noun,Animals,Insects,🐞,ladybug,tentōmushi
Noun,Animals,Insects,🦟,mosquito,ka
Noun,Animals,Insects,🪰,fly,hae
Noun,Animals,Insects,🕷️,spider,kumo
Noun,Animals,Insects,🕸️,spider web,kumo no su
Noun,Animals,Insects,🦂,scorpion,sasori
Noun,Animals,Insects,🐌,snail,katatsumuri
Noun,Animals,Insects,🦠,bug,mushi
Noun,Animals,Insects,🐛,worm,mimizu
Noun,Animals,Insects,🦎,dragonfly,tombo
Noun,Animals,Insects,🪳,cockroach,gokiburi
Noun,Animals,Insects,🐝,hornet,suzumebachi
Noun,Animals,Reptiles,🐍,snake,hebi
Noun,Animals,Reptiles,🦎,lizard,tokage
Noun,Animals,Reptiles,🐊,crocodile,wani
Noun,Animals,Reptiles,🐢,turtle,kame
Noun,Animals,Reptiles,🐸,frog,kaeru
Noun,Animals,Reptiles,🦕,dinosaur,kyōryū
Noun,Animals,Reptiles,🦖,T-Rex,tiranosouru
Noun,Animals,Reptiles,🐲,dragon,ryū
