category,level1,level2,emoji,english,romaji
Noun,Shapes,Basic,⭕,circle,maru
Noun,Shapes,Basic,🔴,round,marui
Noun,Shapes,Basic,⬜,square,shikaku
Noun,Shapes,Basic,🔲,rectangle,chōhōkei
Noun,Shapes,Basic,🔺,triangle,sankaku
Noun,Shapes,Basic,⬟,pentagon,gokakkei
Noun,Shapes,Basic,⬡,hexagon,rokkakkei
Noun,Shapes,Basic,⭐,star,hoshi
Noun,Shapes,Basic,💎,diamond,daiya
Noun,Shapes,Basic,💗,heart,hāto
Noun,Shapes,Basic,🥚,oval,daenkei
Noun,Shapes,Basic,🌙,crescent,mikazuki
Noun,Shapes,Basic,➡️,arrow,yajirushi
Noun,Shapes,Basic,❌,cross,jūji
Noun,Shapes,Basic,⚪,sphere,kyū
Noun,Shapes,3D,📦,cube,rippōtai
Noun,Shapes,3D,🎲,box,hako
Noun,Shapes,3D,🔮,sphere,kyūtai
Noun,Shapes,3D,🏀,ball,bōru
Noun,Shapes,3D,🔺,pyramid,piramiddo
Noun,Shapes,3D,🥫,cylinder,entō
Noun,Shapes,3D,🍦,cone,ensui
Noun,Shapes,3D,💊,capsule,kapuseru
Noun,Shapes,Geometric,📐,angle,kaku
Noun,Shapes,Geometric,📏,line,sen
Noun,Shapes,Geometric,↔️,straight,massugu
Noun,Shapes,Geometric,🌊,curved,magatta
Noun,Shapes,Geometric,⚡,zigzag,gizagiza
Noun,Shapes,Geometric,〰️,wavy,nami
Noun,Shapes,Geometric,🔄,spiral,rasen
Noun,Shapes,Geometric,⭕,point,ten
Noun,Shapes,Geometric,▪️,dot,tennten
Noun,Shapes,Geometric,━,horizontal,suihei
Noun,Shapes,Geometric,┃,vertical,suichoku
Noun,Shapes,Geometric,╱,diagonal,naname
Adjective,Descriptions,Color,🎨,colorful,irotoridori
Adjective,Descriptions,Color,🌈,bright,akarui
Adjective,Descriptions,Color,🌑,dark,kurai
Adjective,Descriptions,Color,💡,light,akarui
Adjective,Descriptions,Color,⚫,black,kuroi
Adjective,Descriptions,Color,⚪,white,shiroi
Adjective,Descriptions,Color,🔴,red,akai
Adjective,Descriptions,Color,🔵,blue,aoi
Adjective,Descriptions,Color,🟡,yellow,kiiroi
Adjective,Descriptions,Color,🟢,green,midori no
Adjective,Descriptions,Color,✨,shiny,kagayaku
Adjective,Descriptions,Color,💫,sparkly,kirakira
Adjective,Descriptions,Color,🌫️,pale,usui
Adjective,Descriptions,Color,🖤,deep,koi
Adjective,Descriptions,Color,🌟,vivid,azayaka
Adjective,Descriptions,Texture,🧱,rough,zarazara
Adjective,Descriptions,Texture,🪞,smooth,subesube
Adjective,Descriptions,Texture,🧊,hard,katai
Adjective,Descriptions,Texture,☁️,soft,yawarakai
Adjective,Descriptions,Texture,💧,wet,nureta
Adjective,Descriptions,Texture,🏜️,dry,kawaita
Adjective,Descriptions,Texture,🧊,cold,tsumetai
Adjective,Descriptions,Texture,🔥,hot,atsui
Adjective,Descriptions,Texture,🌡️,warm,atatakai
Adjective,Descriptions,Texture,❄️,cool,suzushii
Adjective,Descriptions,Texture,💎,sharp,surudoi
Adjective,Descriptions,Texture,🔘,dull,nibui
Adjective,Descriptions,Texture,🪨,bumpy,dekoboko
Adjective,Descriptions,Texture,🪶,fluffy,fuwafuwa
Adjective,Descriptions,Texture,🧈,sticky,betobeto
Adjective,Descriptions,Texture,🧼,slippery,nurunuru
Adjective,Descriptions,Texture,🪨,solid,katai
Adjective,Descriptions,Texture,💨,light,karui
Adjective,Descriptions,Texture,🏋️,heavy,omoi
Adjective,Descriptions,Texture,🧊,thick,atsui
Adjective,Descriptions,Texture,📄,thin,usui
Adjective,Descriptions,Shape,⭕,round,marui
Adjective,Descriptions,Shape,⬜,square,shikakui
Adjective,Descriptions,Shape,🔺,triangular,sankakukei
Adjective,Descriptions,Shape,📏,long,nagai
Adjective,Descriptions,Shape,📐,short,mijikai
Adjective,Descriptions,Shape,↕️,tall,takai
Adjective,Descriptions,Shape,↕️,low,hikui
Adjective,Descriptions,Shape,↔️,wide,hiroi
Adjective,Descriptions,Shape,🪡,narrow,semai
Adjective,Descriptions,Shape,🥞,flat,taira
Adjective,Descriptions,Shape,⛰️,steep,kewashii
Adjective,Descriptions,Shape,🌊,wavy,nami no
Adjective,Descriptions,Shape,〰️,curvy,magatta
Adjective,Descriptions,Shape,📏,straight,massugu
Adjective,Descriptions,Shape,🔺,pointed,togatta
Adjective,Descriptions,Shape,🥚,oval,daenkei
Adjective,Descriptions,Size,📏,big,ōkii
Adjective,Descriptions,Size,📌,small,chiisai
Adjective,Descriptions,Size,🦖,huge,kyodai
Adjective,Descriptions,Size,🐜,tiny,chicchai
Adjective,Descriptions,Size,🏔️,large,ōki na
Adjective,Descriptions,Size,📱,medium,chū
Adjective,Descriptions,Size,📏,long,nagai
Adjective,Descriptions,Size,✂️,short,mijikai
Adjective,Descriptions,Size,🏢,tall,takai
Adjective,Descriptions,Size,🧍,high,takai
