
category,level1,level2,emoji,english,romaji
Noun,Animals,Pet,🐕,dog,inu
Noun,Animals,Pet,🐈,cat,neko
Noun,Animals,Pet,🐇,rabbit,usagi
Noun,Animals,Pet,🐹,hamster,hamusutā
Noun,Animals,Pet,🐦,bird,tori
Noun,Animals,Pet,🐠,fish,sakana
Noun,Animals,Pet,🐢,turtle,kame
Noun,Animals,Pet,🐁,mouse,nezumi
Noun,Animals,Pet,🦎,lizard,tokage
Noun,Animals,Pet,🐍,snake,hebi
Noun,Animals,Pet,🦜,parrot,ōmu
Noun,Animals,Pet,🐩,poodle,pūdoru
Noun,Animals,Pet,🐈‍⬛,black cat,kuro neko
Noun,Animals,Pet,🦮,guide dog,mōdōken
Noun,Animals,Pet,🐕‍🦺,service dog,kaigo inu
Noun,Animals,Farm,🐄,cow,ushi
Noun,Animals,Farm,🐷,pig,buta
Noun,Animals,Farm,🐴,horse,uma
Noun,Animals,Farm,🐑,sheep,hitsuji
Noun,Animals,Farm,🐐,goat,yagi
Noun,Animals,Farm,🐔,chicken,niwatori
Noun,Animals,Farm,🐓,rooster,ondori
Noun,Animals,Farm,🦆,duck,ahiru
Noun,Animals,Farm,🦃,turkey,shichimenchō
Noun,Animals,Farm,🐇,rabbit,usagi
Noun,Animals,Farm,🐎,donkey,roba
Noun,Animals,Farm,🦙,llama,rama
Noun,Animals,Farm,🐖,piglet,kobu
Noun,Animals,Farm,🐏,ram,osu hitsuji
Noun,Animals,Farm,🥚,egg,tamago
Noun,Animals,Wild,🦁,lion,raion
Noun,Animals,Wild,🐯,tiger,tora
Noun,Animals,Wild,🐻,bear,kuma
Noun,Animals,Wild,🐺,wolf,ōkami
Noun,Animals,Wild,🦊,fox,kitsune
Noun,Animals,Wild,🐵,monkey,saru
Noun,Animals,Wild,🦍,gorilla,gorira
Noun,Animals,Wild,🐘,elephant,zō
Noun,Animals,Wild,🦏,rhinoceros,sai
Noun,Animals,Wild,🦛,hippopotamus,kaba
Noun,Animals,Wild,🦒,giraffe,kirin
Noun,Animals,Wild,🦓,zebra,shimauma
Noun,Animals,Wild,🦘,kangaroo,kangarū
Noun,Animals,Wild,🐨,koala,koara
Noun,Animals,Wild,🐼,panda,panda
Noun,Animals,Wild,🦥,sloth,namakemono
Noun,Animals,Wild,🦦,otter,rakko
Noun,Animals,Wild,🦨,skunk,sukanku
Noun,Animals,Wild,🦡,badger,anaguma
Noun,Animals,Wild,🐗,boar,inoshishi
Noun,Animals,Wild,🦌,deer,shika
Noun,Animals,Wild,🐿️,squirrel,risu
Noun,Animals,Wild,🦇,bat,kōmori
Noun,Animals,Wild,🦔,hedgehog,harinezumi
Noun,Animals,Wild,🐆,leopard,hyō
Noun,Animals,Wild,🐅,tiger,toraneko
Noun,Animals,Wild,🦮,raccoon,araiguma
Noun,Animals,Sea,🐟,fish,sakana
Noun,Animals,Sea,🐠,tropical fish,nettai-gyo
Noun,Animals,Sea,🐡,pufferfish,fugu
Noun,Animals,Sea,🦈,shark,same
Noun,Animals,Sea,🐬,dolphin,iruka
Noun,Animals,Sea,🐳,whale,kujira
Noun,Animals,Sea,🐙,octopus,tako
Noun,Animals,Sea,🦑,squid,ika
Noun,Animals,Sea,🦐,shrimp,ebi
Noun,Animals,Sea,🦞,lobster,robusutā
Noun,Animals,Sea,🦀,crab,kani
Noun,Animals,Sea,🐚,shellfish,kai
Noun,Animals,Sea,🦪,oyster,kaki
Noun,Animals,Sea,🐌,snail,katatsumuri
Noun,Animals,Sea,🦭,seal,azarashi
Noun,Animals,Sea,🦦,sea otter,rakko
Noun,Animals,Sea,🐧,penguin,pengin
Noun,Animals,Sea,🦈,stingray,ei
Noun,Animals,Sea,🐡,jellyfish,kurage
Noun,Animals,Sea,⭐,starfish,hitode
Noun,Animals,Sea,🦑,cuttlefish,kōika
Noun,Animals,Birds,🐦,bird,tori
Noun,Animals,Birds,🦅,eagle,washi
Noun,Animals,Birds,🦉,owl,fukurō
Noun,Animals,Birds,🦜,parrot,ōmu
Noun,Animals,Birds,🦚,peacock,kujaku
Noun,Animals,Birds,🦩,flamingo,furamingo
Noun,Animals,Birds,🐧,penguin,pengin
Noun,Animals,Birds,🕊️,dove,hato
Noun,Animals,Birds,🦢,swan,hakuchō
Noun,Animals,Birds,🦆,duck,ahiru
Noun,Animals,Birds,🦃,turkey,shichimenchō
Noun,Animals,Birds,🐓,rooster,ondori
Noun,Animals,Birds,🐔,chicken,niwatori
Noun,Animals,Birds,🐤,chick,hiyoko
Noun,Animals,Birds,🐣,hatching chick,hina
Noun,Animals,Birds,🦇,bat,kōmori
Noun,Animals,Birds,🐦‍⬛,crow,karasu
Noun,Animals,Birds,🦅,hawk,taka
Noun,Animals,Birds,🪶,feather,hane
Noun,Animals,Birds,🥚,egg,tamago
Noun,Animals,Birds,🪹,nest,su
Noun,Animals,Insects,🐛,caterpillar,kemushi
Noun,Animals,Insects,🦋,butterfly,chō
Noun,Animals,Insects,🐝,bee,hachi
Noun,Animals,Insects,🐜,ant,ari
Noun,Animals,Insects,🦗,cricket,kōrogi
Noun,Animals,Insects,🪲,beetle,kabutomushi
Noun,Animals,Insects,🐞,ladybug,tentōmushi
Noun,Animals,Insects,🦟,mosquito,ka
Noun,Animals,Insects,🪰,fly,hae
Noun,Animals,Insects,🕷️,spider,kumo
Noun,Animals,Insects,🕸️,spider web,kumo no su
Noun,Animals,Insects,🦂,scorpion,sasori
Noun,Animals,Insects,🐌,snail,katatsumuri
Noun,Animals,Insects,🦠,bug,mushi
Noun,Animals,Insects,🐛,worm,mimizu
Noun,Animals,Insects,🦎,dragonfly,tombo
Noun,Animals,Insects,🪳,cockroach,gokiburi
Noun,Animals,Insects,🐝,hornet,suzumebachi
Noun,Animals,Reptiles,🐍,snake,hebi
Noun,Animals,Reptiles,🦎,lizard,tokage
Noun,Animals,Reptiles,🐊,crocodile,wani
Noun,Animals,Reptiles,🐢,turtle,kame
Noun,Animals,Reptiles,🐸,frog,kaeru
Noun,Animals,Reptiles,🦕,dinosaur,kyōryū
Noun,Animals,Reptiles,🦖,T-Rex,tiranosouru
Noun,Animals,Reptiles,🐲,dragon,ryū
Noun,Buildings,Shops,🏪,shop,mise
Noun,Buildings,Shops,🏬,store,sutoa
Noun,Buildings,Shops,🛒,supermarket,sūpā
Noun,Buildings,Shops,🏪,convenience store,konbini
Noun,Buildings,Shops,🍞,bakery,panya
Noun,Buildings,Shops,📚,bookstore,honya
Noun,Buildings,Shops,💊,pharmacy,yakkyoku
Noun,Buildings,Shops,🛍️,department store,depāto
Noun,Buildings,Shops,🛒,grocery store,shokuryōhinten
Noun,Buildings,Shops,💐,flower shop,hanaya
Noun,Buildings,Shops,🥩,butcher,nikuya
Noun,Buildings,Shops,🐟,fish market,sakanaya
Noun,Buildings,Shops,🍎,fruit shop,kudamonoya
Noun,Buildings,Shops,👕,clothing store,yōfukuya
Noun,Buildings,Shops,👞,shoe store,kutsuya
Noun,Buildings,Shops,💍,jewelry store,hōsekiten
Noun,Buildings,Shops,📱,electronics store,denkiya
Noun,Buildings,Shops,🪑,furniture store,kaguya
Noun,Buildings,Shops,🎁,gift shop,omiyageya
Noun,Buildings,Shops,🧸,toy store,omocha ya
Noun,Buildings,Shops,📖,stationery store,bunbōguya
Noun,Buildings,Shops,🛠️,hardware store,kanamonoya
Noun,Buildings,Shops,🏬,shopping mall,shoppingu mōru
Noun,Buildings,Shops,🎪,market,ichiba
Noun,Buildings,Shops,🪟,shopping center,shoppingu sentā
Noun,Buildings,Food,🍽️,restaurant,resutoran
Noun,Buildings,Food,☕,cafe,kafe
Noun,Buildings,Food,🍺,bar,bā
Noun,Buildings,Food,🍜,ramen shop,rāmenya
Noun,Buildings,Food,🍣,sushi restaurant,sushiya
Noun,Buildings,Food,🍔,fast food,fasuto fūdo
Noun,Buildings,Food,🍕,pizzeria,pizaya
Noun,Buildings,Food,🥘,izakaya,izakaya
Noun,Buildings,Food,🍵,tea house,ochaya
Noun,Buildings,Food,🍰,cake shop,kēkiya
Noun,Buildings,Food,🍦,ice cream shop,aisukurīmuya
Noun,Buildings,Food,☕,coffee shop,kissaten
Noun,Buildings,Food,🍱,bento shop,bentōya
Noun,Buildings,Food,🏪,food court,fūdo kōto
Noun,Buildings,Food,🥡,takeout,teikuauto
Noun,Buildings,Civic,📚,library,toshokan
Noun,Buildings,Civic,👮,police station,keisatsusho
Noun,Buildings,Civic,🚒,fire station,shōbōsho
Noun,Buildings,Civic,📮,post office,yūbinkyoku
Noun,Buildings,Civic,🏛️,city hall,shiyakusho
Noun,Buildings,Civic,⚖️,court,saibansho
Noun,Buildings,Civic,🏛️,government office,yakusho
Noun,Buildings,Civic,🏛️,town hall,kōkaido
Noun,Buildings,Civic,🆔,ward office,kuyakusho
Noun,Buildings,Civic,🏛️,embassy,taishikan
Noun,Buildings,Civic,🏛️,museum,hakubutsukan
Noun,Buildings,Civic,🎨,art gallery,bijutsukan
Noun,Buildings,Civic,🎭,theater,gekijō
Noun,Buildings,Civic,🎬,cinema,eigakan
Noun,Buildings,Civic,🏞️,zoo,dōbutsuen
Noun,Buildings,Civic,🌺,botanical garden,shokubutsuen
Noun,Buildings,Civic,🏊,swimming pool,pūru
Noun,Buildings,Civic,🏟️,stadium,sutajiamu
Noun,Buildings,Civic,🏛️,community center,kōminkan
Noun,Buildings,Work,🏢,office,jimusho
Noun,Buildings,Work,🏭,factory,kōjō
Noun,Buildings,Work,🏢,company,kaisha
Noun,Buildings,Work,🏗️,construction site,kōji genba
Noun,Buildings,Work,🏢,headquarters,honsha
Noun,Buildings,Work,🏢,branch office,shisha
Noun,Buildings,Work,📞,call center,kōru sentā
Noun,Buildings,Work,🏢,corporate building,bijinessu biru
Noun,Buildings,Work,🏭,warehouse,sōko
Noun,Buildings,Work,🏢,studio,sutajio
Noun,Buildings,Work,🏢,workshop,kōbō
Noun,Buildings,Work,🚜,farm,nōjō
Noun,Buildings,Education,🏫,school,gakkō
Noun,Buildings,Education,🎓,university,daigaku
Noun,Buildings,Education,🏫,high school,kōkō
Noun,Buildings,Education,🏫,junior high,chūgakkō
Noun,Buildings,Education,🏫,elementary school,shōgakkō
Noun,Buildings,Education,👶,kindergarten,yōchien
Noun,Buildings,Education,👶,nursery,hoikuen
Noun,Buildings,Education,📖,cram school,juku
Noun,Buildings,Education,🎓,college,tanki daigaku
Noun,Buildings,Education,📚,academy,gakuin
Noun,Buildings,Education,🏫,vocational school,senmon gakkō
Noun,Buildings,Education,🎓,graduate school,daigakuin
Noun,Buildings,Education,🌍,language school,gogaku gakkō
Noun,Buildings,Health,🏥,hospital,byōin
Noun,Buildings,Health,🏥,clinic,kurinikku
Noun,Buildings,Health,💊,pharmacy,yakkyoku
Noun,Buildings,Health,🦷,dentist,haisha
Noun,Buildings,Health,👁️,eye doctor,gankai
Noun,Buildings,Health,💉,doctor's office,shinryōjo
Noun,Buildings,Health,🧪,laboratory,kensakushitsu
Noun,Buildings,Health,🚑,emergency room,kyūkyū shitsu
