
category,level1,level2,emoji,english,romaji
Noun,Family,Immediate,👨,father,otōsan
Noun,Family,Immediate,👩,mother,okāsan
Noun,Family,Immediate,👦,older brother,onīsan
Noun,Family,Immediate,👧,older sister,onēsan
Noun,Family,Immediate,👶,younger brother,otōto
Noun,Family,Immediate,👶,younger sister,imōto
Noun,Family,Immediate,👴,grandfather,ojīsan
Noun,Family,Immediate,👵,grandmother,obāsan
Noun,Family,Immediate,👨‍👩‍👧‍👦,family,kazoku
Noun,Family,Immediate,👪,parents,ryōshin
Noun,Family,Immediate,👫,siblings,kyōdai
Noun,Family,Immediate,👶,child,kodomo
Noun,Family,Immediate,👦,son,musuko
Noun,Family,Immediate,👧,daughter,musume
Noun,Family,Immediate,👨‍👩‍👧,husband,otto
Noun,Family,Immediate,👨‍👩‍👧,wife,tsuma
Noun,Family,Extended,👨‍👩‍👧‍👦,uncle,ojisan
Noun,Family,Extended,👨‍👩‍👧‍👦,aunt,obasan
Noun,Family,Extended,👦,cousin,itoko
Noun,Family,Extended,👶,nephew,oi
Noun,Family,Extended,👶,niece,mei
Noun,Family,Extended,👴,ancestors,senzo
Noun,Family,Extended,👶,grandchild,mago
Noun,Family,Extended,👦,grandson,magomusuko
Noun,Family,Extended,👧,granddaughter,magomusume
Noun,Family,Extended,👨‍👩‍👧,relatives,shinseki
Noun,Family,Extended,🏠,household,setai
Noun,Family,In-laws,👨,father-in-law,giri no chichi
Noun,Family,In-laws,👩,mother-in-law,giri no haha
Noun,Family,In-laws,👦,brother-in-law,giri no kyōdai
Noun,Family,In-laws,👧,sister-in-law,giri no shimai
Noun,Family,Relationship,💑,boyfriend,kareshi
Noun,Family,Relationship,💑,girlfriend,kanojo
Noun,Family,Relationship,💍,fiancé,iinazuke
Noun,Family,Relationship,👶,baby,akachan
Noun,Family,Relationship,🧒,twins,futago
Noun,Family,Relationship,👨,eldest son,chōnan
Noun,Family,Relationship,👧,eldest daughter,chōjo
Noun,Family,Relationship,👶,youngest child,suekko
Noun,Family,Relationship,🏠,only child,hitorikko
Noun,Family,Relationship,👶,adopted child,yōshi
Noun,Family,Relationship,👥,stepfather,mamachichi
Noun,Family,Relationship,👥,stepmother,mamahaha
Adjective,Emotions,Positive,😊,happy,ureshii
Adjective,Emotions,Positive,😄,fun,tanoshii
Adjective,Emotions,Positive,❤️,love,ai
Adjective,Emotions,Positive,😍,like,suki
Adjective,Emotions,Positive,🥰,loving,itoshii
Adjective,Emotions,Positive,😆,joyful,yorokobi
Adjective,Emotions,Positive,😌,peaceful,odayaka
Adjective,Emotions,Positive,🤗,warm,atatakai
Adjective,Emotions,Positive,😊,glad,yokatta
Adjective,Emotions,Positive,🎉,excited,kōfun
Adjective,Emotions,Positive,😁,cheerful,akarui
Adjective,Emotions,Positive,💪,energetic,genki
Adjective,Emotions,Positive,🙏,grateful,kansha
Adjective,Emotions,Positive,😇,blessed,shiawase
Adjective,Emotions,Positive,🌟,hopeful,kibō
Adjective,Emotions,Positive,😎,confident,jishin
Adjective,Emotions,Positive,🥳,thrilled,ōyorokobi
Adjective,Emotions,Positive,😌,satisfied,manzoku
Adjective,Emotions,Positive,🤩,amazed,odoroku
