category,level1,level2,emoji,english,romaji
Noun,Food,Fruit,🍎,apple,ringo
Noun,Food,Fruit,🍊,orange,mikan
Noun,Food,Fruit,🍌,banana,banana
Noun,Food,Fruit,🍓,strawberry,ichigo
Noun,Food,Fruit,🍇,grape,budou
Noun,Food,Fruit,🍑,peach,momo
Noun,Food,Fruit,🍉,watermelon,suika
Noun,Food,Fruit,🍈,melon,meron
Noun,Food,Fruit,🍐,pear,nashi
Noun,Food,Fruit,🍒,cherry,sakuranbo
Noun,Food,Fruit,🍋,lemon,remon
Noun,Food,Fruit,🥝,kiwi,kiwi
Noun,Food,Fruit,🍍,pineapple,painappuru
Noun,Food,Fruit,🥭,mango,mango
Noun,Food,Fruit,🍏,green apple,ao-ringo
Noun,Food,Fruit,🫐,blueberry,burūberī
Noun,Food,Vegetable,🥕,carrot,ninjin
Noun,Food,Vegetable,🍅,tomato,tomato
Noun,Food,Vegetable,🥒,cucumber,kyuuri
Noun,Food,Vegetable,🧅,onion,tamanegi
Noun,Food,Vegetable,🥔,potato,jagaimo
Noun,Food,Vegetable,🌽,corn,tōmorokoshi
Noun,Food,Vegetable,🥬,lettuce,retasu
Noun,Food,Vegetable,🥦,broccoli,burokkori
Noun,Food,Vegetable,🫑,green pepper,pīman
Noun,Food,Vegetable,🍆,eggplant,nasu
Noun,Food,Vegetable,🍄,mushroom,kinoko
Noun,Food,Vegetable,🥗,salad,sarada
Noun,Food,Vegetable,🌶️,chili pepper,tōgarashi
Noun,Food,Vegetable,🥜,peanut,piinattsu
Noun,Food,Vegetable,🫛,peas,endō
Noun,Food,Vegetable,🥑,avocado,abokado
Noun,Food,Vegetable,🧄,garlic,ninniku
Noun,Food,Vegetable,🫚,ginger,shōga
Noun,Food,Vegetable,🥕,radish,daikon
Noun,Food,Vegetable,🥬,cabbage,kyabetsu
Noun,Food,Vegetable,🥒,spinach,hōrensō
Noun,Food,Meals,🍚,rice,gohan
Noun,Food,Meals,🍜,ramen,rāmen
Noun,Food,Meals,🍱,bento,bentō
Noun,Food,Meals,🍛,curry,karē
Noun,Food,Meals,🍙,rice ball,onigiri
Noun,Food,Meals,🍣,sushi,sushi
Noun,Food,Meals,🍝,pasta,pasuta
Noun,Food,Meals,🍕,pizza,piza
Noun,Food,Meals,🥪,sandwich,sandoitchi
Noun,Food,Meals,🌮,taco,tako
Noun,Food,Meals,🍔,hamburger,hanbāgā
Noun,Food,Meals,🍟,french fries,furaido potato
Noun,Food,Meals,🥟,dumpling,gyōza
Noun,Food,Meals,🍲,hot pot,nabe
Noun,Food,Meals,🥘,paella,paeria
Noun,Food,Meals,🍳,fried egg,medamayaki
Noun,Food,Meals,🥙,kebab,kebabu
Noun,Food,Meals,🌭,hot dog,hotto doggu
Noun,Food,Meals,🥗,salad,sarada
Noun,Food,Meals,🍖,meat on bone,niku
