Level,Emoji,Phrase,Meaning
N1,🎯,aete (敢えて（あえて）),dare to; daringly; deliberately; purposely ~
N1,‼️,akumade mo (あくまでも),to the end; persistently; absolutely; is still very ~
N1,1️⃣,an no jou (案の定（あんのじょう）),just as one thought; as usual; sure enough
N1,⏮️,arakajime (あらかじめ),beforehand; in advance; previously​
N1,➡️,atte no (あっての),which can exist solely due to the presence of; which owes everything to
N1,💡,ba koso (ばこそ),only because ~
N1,❓,ba sore made da / tara sore made da (ばそれまでだ / たらそれまでだ),if… then it’s over
N1,‼️,bekarazu / bekarazaru (べからず / べからざる),must not; should not; do not ~
N1,🎯,beku (べく),in order to; for the purpose of ~
N1,💪,beku mo nai (べくもない),cannot possibly be ~
N1,➡️,beku shite (べくして),as it is bound to (happen); following the natural course
N1,👀,biru / bite / bita (びる / びて / びた),to seem to be; to appear; to behave as ~
N1,🛤️,buri / ppuri (ぶり / っぷり),style; manner; way​
N1,🤷,buru / butte / butta (ぶる / ぶって / ぶった),assuming the air of; behaving like; to pretend / act like ~
N1,❌,dani / dani shinai (だに / だにしない),even; not even ~
N1,📌,dano~dano (だの～だの),and; and the like; and so forth ~
N1,📌,darou ni (だろうに),(1) surely...; but ~; although... is likely; ~ (2) should have (regret); might / must have been ~
N1,⚠️,de are / de arou to (であれ / であろうと),whoever; whatever; however; even ~
N1,🤔,de are~de are (であれ～であれ),whether [A] or [B]
N1,➡️,demo ari~demo aru (でもあり～でもある),to also be; both… and ~
N1,📌,demo nan demo nai / kumo nan tomo nai (でも何でもない / くも何ともない（でもなんでもない / くもなんともない）),not in the least; nothing like that
N1,✔️,denakute nan darou (でなくてなんだろう),must be; is definitely ~
N1,❓,dewa arumai ka (ではあるまいか),isn't it; I wonder if it’s not ~
N1,❓,dewa arumai shi (ではあるまいし),it’s not like; it isn’t as if ~
N1,⚖️,dewa sumanai (では済まない（ではすまない）),it doesn’t end with just ~; it will take more than ~
N1,💪,dou nimo~nai (どうにも～ない),not … by any means; no matter how hard one tries; cannot ~
N1,⚡,ga hayai ka (が早いか（がはやいか）),no sooner than; as soon as ~
N1,📌,ga/mo~nara; ~mo~da (が/も～なら、～も～だ),negative connection/comparison (like father like son)
N1,📌,gamashii (がましい),look like; sound like; approximate; similar to; somewhat like ~
N1,⏱️,gatera (がてら),while; on the same occasion; at the same time; coincidentally ~
N1,❓,gotoki / gotoku / gotoshi (ごとき / ごとく / ごとし),like; as if; the same as ~
N1,➡️,gurumi (ぐるみ),together (with); -wide
N1,🔚,hame ni naru (羽目になる（はめになる）),to get stuck with; to end up with (something unpleasant)
N1,✅,hodo no koto dewa nai (ほどのことではない),it's not worth; no need to ~
