category,level1,level2,emoji,english,romaji
Verb,Stage,Beginning,▶️,start,hajimaru
Verb,Stage,Beginning,🌱,begin,hajimeru
Verb,Stage,Beginning,👁️,appear,arawareru
Verb,Stage,Beginning,📈,grow,sodatsu
Verb,Stage,Beginning,🔄,become,naru
Verb,Stage,Beginning,📝,prepare,junbi suru
Verb,Stage,Beginning,⏰,be late,okureru
Verb,Stage,Continuation,⏩,continue,tsuzuku
Verb,Stage,Continuation,⏳,last,tsuzuku
Verb,Stage,Continuation,⏱️,take time,kakaru
Verb,Stage,Continuation,⏸️,delay,okuraseru
Verb,Stage,Continuation,📆,put off,enki suru
Verb,Stage,Continuation,🔁,repeat,kurikaesu
Verb,Stage,Continuation,▶️,resume,saikai suru
Verb,Stage,End,🏁,finish,owaru
Verb,Stage,End,✅,complete,kanryō suru
Verb,Stage,End,⏸️,break,chūdan suru
Verb,Stage,End,⏸️,interrupt,saegiru
Verb,Stage,End,⏯️,suspend,teishi suru
Verb,Stage,End,⏹️,cease,yameru
Verb,Stage,End,🛑,stop,tomeru
Verb,Movement,Ways,🚶,move,ugoku
Verb,Movement,Ways,🛑,stop,tomaru
Verb,Movement,Ways,🚶,go,iku
Verb,Movement,Ways,⛸️,slide,suberu
Verb,Movement,Ways,⚽,roll,korogaru
Verb,Movement,Ways,↩️,turn,magaru
Verb,Movement,Ways,🪢,bend,mageru
Verb,Movement,Ways,👋,wave,furu
Verb,Movement,Ways,🤝,shake,yurasu
Verb,Movement,Ways,⛷️,swing,yureru
Verb,Movement,Ways,🏊,swim,oyogu
Verb,Movement,Ways,🔄,rotate,kaiten suru
Verb,Movement,Ways,⛷️,ski,sukī suru
Verb,Movement,Ways,⛸️,skate,sukēto suru
Verb,Movement,Upward,⬆️,raise,ageru
Verb,Movement,Upward,📈,lift,mochi ageru
Verb,Movement,Upward,⬆️,rise,agaru
Verb,Movement,Upward,🧗,climb,noboru
Verb,Movement,Upward,⛰️,ascend,tōjō suru
Verb,Movement,Downward,⬇️,lower,sageru
Verb,Movement,Downward,⬇️,sink,shizumu
Verb,Movement,Downward,💧,drop,otosu
Verb,Movement,Downward,🍂,fall,ochiru
Verb,Movement,Downward,⬇️,descend,kudaru
Verb,Movement,Speed,⏰,hurry,isogu
Verb,Movement,Speed,✈️,fly,tobu
Verb,Movement,Speed,🏇,ride,noru
Verb,Movement,Speed,🏃,run,hashiru
Verb,Movement,Speed,🐌,creep,hau
Verb,Movement,Speed,🐌,crawl,yotsunbai de aruku
Verb,Movement,Speed,🚶,walk,aruku
Verb,Movement,Speed,⚡,speed up,kasoku suru
Verb,Movement,Speed,🚗,brake,burēki wo kakeru
Verb,Movement,Speed,🐢,slow down,okuraseru
Verb,Movement,Pursuit,🏃,pursue,tsuiseki suru
Verb,Movement,Pursuit,🚗,drive,unten suru
Verb,Movement,Pursuit,🏃‍♂️,catch up,oitsuku
Verb,Movement,Pursuit,🏆,surpass,koeru
Verb,Movement,Pursuit,👋,leave behind,ato ni nokosu
Verb,Movement,Pursuit,🤲,catch,tsukamaru
Verb,Movement,Pursuit,🏃‍♀️,escape,nigeru
